Date,Open,High,Low,Close,Volume
03/12/2021,"120.40","121.17","119.16","121.03","88,105,047"
03/11/2021,"122.54","123.21","121.26","121.96","103,026,492"
03/10/2021,"121.69","122.17","119.45","119.98","111,943,297"
03/09/2021,"119.03","122.06","118.79","121.09","129,525,797"
03/08/2021,"120.93","121.00","116.21","116.36","154,376,609"
03/05/2021,"120.98","121.94","117.57","121.42","153,766,594"
03/04/2021,"121.75","123.60","118.62","120.13","178,155,016"
03/03/2021,"124.81","125.71","121.84","122.06","112,966,305"
03/02/2021,"128.41","128.72","125.01","125.12","102,260,898"
03/01/2021,"123.75","127.93","122.79","127.79","116,307,906"
02/26/2021,"122.59","124.85","121.20","121.26","164,560,406"
02/25/2021,"124.68","126.46","120.54","120.99","148,199,500"
02/24/2021,"124.94","125.56","122.23","125.35","111,039,906"
02/23/2021,"123.76","126.71","118.39","125.86","158,272,984"
02/22/2021,"128.01","129.72","125.60","126.00","103,916,398"
02/19/2021,"130.24","130.71","128.80","129.87","87,668,828"
02/18/2021,"129.20","130.00","127.41","129.71","96,856,750"
02/17/2021,"131.25","132.22","129.47","130.84","98,085,250"
02/16/2021,"135.49","136.01","132.79","133.19","80,576,320"
02/12/2021,"134.35","135.53","133.69","135.37","60,145,129"
02/11/2021,"135.90","136.39","133.77","135.13","64,280,031"
02/10/2021,"136.48","136.99","134.40","135.39","73,046,562"
02/09/2021,"136.62","137.88","135.85","136.01","76,774,211"
02/08/2021,"136.03","136.96","134.92","136.91","71,297,211"
02/05/2021,"137.35","137.42","135.86","136.76","75,693,828"
02/04/2021,"136.30","137.40","134.59","137.39","84,183,055"
02/03/2021,"135.76","135.77","133.61","133.94","89,880,945"
02/02/2021,"135.73","136.31","134.61","134.99","83,305,367"
02/01/2021,"133.75","135.38","130.93","134.14","106,239,797"
01/29/2021,"135.83","136.74","130.21","131.96","177,523,812"
01/28/2021,"139.52","141.99","136.70","137.09","142,621,109"
01/27/2021,"143.43","144.30","140.41","142.06","140,843,812"
01/26/2021,"143.60","144.30","141.37","143.16","98,390,562"
01/25/2021,"143.07","145.09","136.54","142.92","157,611,703"
01/22/2021,"136.28","139.85","135.02","139.07","114,459,398"
01/21/2021,"133.80","139.67","133.59","136.87","120,529,508"
01/20/2021,"128.66","132.49","128.55","132.03","104,319,508"
01/19/2021,"127.78","128.71","126.94","127.83","90,757,328"
01/15/2021,"128.78","130.22","127.00","127.14","111,598,492"
01/14/2021,"130.80","131.00","128.76","128.91","90,221,758"
01/13/2021,"128.76","131.45","128.49","130.89","88,636,828"
01/12/2021,"128.50","129.69","126.86","128.80","91,951,148"
01/11/2021,"129.19","130.17","128.50","128.98","100,620,898"
01/08/2021,"132.43","132.63","130.23","132.05","105,158,203"
01/07/2021,"128.36","131.63","127.86","130.92","109,578,203"
01/06/2021,"127.72","131.05","126.38","126.60","155,088,000"
01/05/2021,"128.89","131.74","128.43","131.01","97,664,898"
01/04/2021,"133.52","133.61","126.76","129.41","143,301,906"
12/31/2020,"134.08","134.74","131.72","132.69","99,116,594"
12/30/2020,"135.58","135.99","133.40","133.72","96,452,117"
12/29/2020,"138.05","138.79","134.34","134.87","121,047,297"
12/28/2020,"133.99","137.34","133.51","136.69","124,486,203"
12/24/2020,"131.32","133.46","131.10","131.97","54,930,059"
12/23/2020,"132.16","132.43","130.78","130.96","88,223,688"
12/22/2020,"131.61","134.41","129.65","131.88","169,351,812"
12/21/2020,"125.02","128.31","123.45","128.23","121,251,602"
12/18/2020,"128.96","129.10","126.12","126.66","192,541,500"
12/17/2020,"128.90","129.58","128.05","128.70","94,359,805"
12/16/2020,"127.41","128.37","126.56","127.81","98,208,594"
12/15/2020,"124.34","127.90","124.13","127.88","157,572,297"
12/14/2020,"122.60","123.35","121.54","121.78","79,075,992"
12/11/2020,"122.43","122.76","120.55","122.41","86,939,789"
12/10/2020,"120.50","123.87","120.15","123.24","81,312,172"
12/09/2020,"124.53","125.95","121.00","121.78","115,089,203"
12/08/2020,"124.37","124.98","123.09","124.38","82,225,516"
12/07/2020,"122.31","124.57","122.25","123.75","86,711,992"
12/04/2020,"122.60","122.86","121.52","122.25","78,260,414"
12/03/2020,"123.52","123.78","122.21","122.94","78,967,633"
12/02/2020,"122.02","123.37","120.89","123.08","89,004,203"
12/01/2020,"121.01","123.47","120.01","122.72","128,166,797"
11/30/2020,"116.97","120.97","116.81","119.05","169,410,203"
11/27/2020,"116.57","117.49","116.22","116.59","46,691,328"
11/25/2020,"115.55","116.75","115.17","116.03","76,499,234"
11/24/2020,"113.91","115.85","112.59","115.17","113,874,203"
11/23/2020,"117.18","117.62","113.75","113.85","127,959,297"
11/20/2020,"118.64","118.77","117.29","117.34","73,604,289"
11/19/2020,"117.59","119.06","116.81","118.64","74,112,969"
11/18/2020,"118.61","119.82","118.00","118.03","76,322,109"
11/17/2020,"119.55","120.67","118.96","119.39","74,270,969"
11/16/2020,"118.92","120.99","118.15","120.30","91,183,023"
11/13/2020,"119.44","119.67","117.87","119.26","81,688,594"
11/12/2020,"119.62","120.53","118.57","119.21","103,350,703"
11/11/2020,"117.19","119.63","116.44","119.49","112,295,000"
11/10/2020,"115.55","117.59","114.13","115.97","138,023,391"
11/09/2020,"120.50","121.99","116.05","116.32","154,515,297"
11/06/2020,"118.32","119.20","116.13","118.69","114,457,906"
11/05/2020,"117.95","119.62","116.87","119.03","126,387,102"
11/04/2020,"114.14","115.59","112.35","114.95","138,235,500"
11/03/2020,"109.66","111.49","108.73","110.44","107,624,398"
11/02/2020,"109.11","110.68","107.32","108.77","122,866,898"
10/30/2020,"111.06","111.99","107.72","108.86","190,573,500"
10/29/2020,"112.37","116.93","112.20","115.32","146,129,203"
10/28/2020,"115.05","115.43","111.10","111.20","143,937,797"
10/27/2020,"115.49","117.28","114.54","116.60","92,276,766"
10/26/2020,"114.01","116.55","112.88","115.05","111,850,703"
10/23/2020,"116.39","116.55","114.28","115.04","82,572,648"
10/22/2020,"117.45","118.04","114.59","115.75","101,988,000"
10/21/2020,"116.67","118.71","116.45","116.87","89,945,984"
10/20/2020,"116.20","118.98","115.63","117.51","124,423,695"
10/19/2020,"119.96","120.42","115.66","115.98","120,639,297"
10/16/2020,"121.28","121.55","118.81","119.02","115,393,797"
10/15/2020,"118.72","121.20","118.15","120.71","112,559,203"
10/14/2020,"121.00","123.03","119.62","121.19","151,062,297"
10/13/2020,"125.27","125.39","119.65","121.10","262,330,500"
10/12/2020,"120.06","125.18","119.28","124.40","240,226,797"
10/09/2020,"115.28","117.00","114.92","116.97","100,506,898"
10/08/2020,"116.25","116.40","114.59","114.97","83,477,148"
10/07/2020,"114.62","115.55","114.13","115.08","96,848,992"
10/06/2020,"115.70","116.12","112.25","113.16","161,498,203"
10/05/2020,"113.91","116.65","113.55","116.50","106,243,797"
10/02/2020,"112.89","115.37","112.22","113.02","144,712,000"
10/01/2020,"117.64","117.72","115.83","116.79","116,120,398"
09/30/2020,"113.79","117.26","113.62","115.81","142,675,203"
09/29/2020,"114.55","115.31","113.57","114.09","100,060,492"
09/28/2020,"115.01","115.32","112.78","114.96","137,672,406"
09/25/2020,"108.43","112.44","107.67","112.28","149,981,406"
09/24/2020,"105.17","110.25","105.00","108.22","167,743,297"
09/23/2020,"111.62","112.11","106.77","107.12","150,718,703"
09/22/2020,"112.68","112.86","109.16","111.81","183,055,391"
09/21/2020,"104.54","110.19","103.10","110.08","195,713,797"
09/18/2020,"110.40","110.88","106.09","106.84","287,104,906"
09/17/2020,"109.72","112.20","108.71","110.34","178,011,016"
09/16/2020,"115.23","116.00","112.04","112.13","155,026,703"
